,x,y,z,B_x,B_y,B_z
188,98.2,-287.25,121.12,-0.21815513006806425,-0.14382560826263457,2.4608250488163868
189,98.2,-287.25,136.5,-0.20194366275842893,-0.10466438567906655,2.446658715623894
190,98.2,-287.25,161.12,-0.16973905855798135,-0.050818863175453144,2.421074956443886
191,98.2,-287.25,201.12,-0.10333732662466341,0.005929165214782817,2.3722960523620347
192,-141.8,-247.25,12.620000000000005,-0.8524619999998857,-0.7350359999999458,2.2276000000001144
193,-141.8,-247.25,41.12,-0.9233108760911601,-0.653820132750818,2.3823019594055626
194,-141.8,-247.25,52.8,-0.941620539721473,-0.6192668228918103,2.4402676280290128
195,-141.8,-247.25,81.12,-0.9591209497883819,-0.5387429487025934,2.5666962625709666
196,-141.8,-247.25,121.12,-0.9291169687695278,-0.42523171853389563,2.7062286898114944
197,-141.8,-247.25,136.5,-0.9038210471994432,-0.3789919279245715,2.746388431341132
198,-141.8,-247.25,161.12,-0.8507693863268262,-0.30021567345122335,2.7946004018764063
199,-141.8,-247.25,201.12,-0.7394234197296161,-0.15527090360441886,2.830738808920383
200,-101.8,-247.25,12.620000000000005,-0.6519100000000928,-0.687220000000142,2.168579999999996
201,-101.8,-247.25,41.12,-0.7196766363498627,-0.6274506840664622,2.3177957591569176
202,-101.8,-247.25,52.8,-0.737769238303323,-0.6100097336294716,2.3764369413285906
203,-101.8,-247.25,81.12,-0.7553292970737047,-0.5672630324503598,2.5063731388323633
204,-101.8,-247.25,121.12,-0.7255778791731035,-0.4860420952494333,2.6462775169343375
205,-101.8,-247.25,136.5,-0.7008684485789921,-0.44841090584704113,2.685057100645923
206,-101.8,-247.25,161.12,-0.6499049970529589,-0.38267283610137914,2.730791339664409
207,-101.8,-247.25,201.12,-0.5464903932812447,-0.2608458869517716,2.765438398754856
208,-61.8,-247.25,12.620000000000005,-0.5101544780256014,-0.6711591386211984,2.1287306533017993
209,-61.8,-247.25,41.12,-0.561131407181818,-0.6134249698681136,2.2693042703542106
210,-61.8,-247.25,52.8,-0.5723294182985125,-0.5975624966488149,2.3255615069977966
211,-61.8,-247.25,81.12,-0.5752124270081287,-0.5594852696068913,2.44927170359036
212,-61.8,-247.25,121.12,-0.5324453327065001,-0.4843970278431169,2.5753848612852255
213,-61.8,-247.25,136.5,-0.506077980059463,-0.45026624042294616,2.6083421981547503
214,-61.8,-247.25,161.12,-0.4552456641673463,-0.39318294467737613,2.646352276680271
215,-61.8,-247.25,201.12,-0.3576516540122081,-0.2927048896107373,2.6748286581566583
216,-41.8,-247.25,12.620000000000005,-0.4499628414567708,-0.6759159924611335,2.1275037056411388
217,-41.8,-247.25,41.12,-0.49058386898009326,-0.6141842739228731,2.259212936317602
218,-41.8,-247.25,52.8,-0.49775591099420735,-0.5952863231788861,2.312051481454476
219,-41.8,-247.25,81.12,-0.4927404897380232,-0.55008788878641,2.4271855202857893
220,-41.8,-247.25,121.12,-0.4441293840999682,-0.4678334879672531,2.539756591792292
221,-41.8,-247.25,136.5,-0.4180187251281232,-0.43311448690255394,2.568095704925305
222,-41.8,-247.25,161.12,-0.36870261187809955,-0.37791883969411316,2.600481929692047
223,-41.8,-247.25,201.12,-0.2732276184588597,-0.2859025207928433,2.6243716248276634
224,-21.799999999999997,-247.25,12.620000000000005,-0.38918993942083047,-0.6717196903417495,2.139131815727823
225,-21.799999999999997,-247.25,41.12,-0.4199642339328524,-0.6059138414549086,2.259545121591101
226,-21.799999999999997,-247.25,52.8,-0.42451240018075365,-0.5839441937640131,2.3075036549171055
227,-21.799999999999997,-247.25,81.12,-0.4170503391647834,-0.5319857097047112,2.4103973736649382
228,-21.799999999999997,-247.25,121.12,-0.3674732532024889,-0.4411587792702199,2.505985330282607
229,-21.799999999999997,-247.25,136.5,-0.34334254894341415,-0.40535652577088777,2.5290590097771726
230,-21.799999999999997,-247.25,161.12,-0.29757209153594444,-0.35119366532423446,2.555101290009045
