1565373905.343299,-1.88168155,0.27353495,-0.39021572,-2.26325215,0.44325261,-0.32508674,-2.61951356,0.53860881,-0.58565438,-2.32615850,0.48012741,-0.51361155,0.48584383,4.23599652,1.00037326,
1565373906.350895,-1.88167335,0.27359550,-0.39008957,-2.26313799,0.44331632,-0.32499844,-2.61942526,0.53868010,-0.58556482,-2.32607714,0.48019554,-0.51348730,0.48602046,4.23617128,1.00045653,
1565373907.303336,-1.88169668,0.27360181,-0.39011669,-2.26317772,0.44335228,-0.32499339,-2.61945489,0.53869145,-0.58556545,-2.32605822,0.48021635,-0.51347279,0.48598513,4.23619148,1.00046284,
1565373908.299793,-1.88170614,0.27358478,-0.38991361,-2.26323260,0.44330118,-0.32487356,-2.61946310,0.53867316,-0.58548284,-2.32602605,0.48019617,-0.51329115,0.48600658,4.23619526,1.00053602,
1565373909.372307,-1.88170929,0.27349142,-0.38935796,-2.26318971,0.44311762,-0.32444279,-2.61942147,0.53861828,-0.58526146,-2.32590115,0.48014129,-0.51274622,0.48601731,4.23612396,1.00069247,
1565373910.252767,-1.88158757,0.27344222,-0.38921668,-2.26307743,0.44304508,-0.32436773,-2.61937796,0.53859557,-0.58524885,-2.32570561,0.48015390,-0.51274307,0.48598513,4.23611323,1.00070824,
1565373911.345304,-1.88156360,0.27341825,-0.38921289,-2.26307870,0.44304697,-0.32437341,-2.61940003,0.53858674,-0.58525515,-2.32566587,0.48015516,-0.51277776,0.48599334,4.23614920,1.00068237,
1565373912.345798,-1.88157244,0.27344032,-0.38922551,-2.26307301,0.44305706,-0.32436647,-2.61941580,0.53859746,-0.58525389,-2.32567471,0.48017283,-0.51275253,0.48601352,4.23613783,1.00068742,
1565373913.290265,-1.88154973,0.27345610,-0.38919965,-2.26300489,0.44306337,-0.32435764,-2.61938110,0.53858674,-0.58524885,-2.32566146,0.48013939,-0.51275947,0.48600532,4.23609495,1.00067985,
1565373914.378807,-1.88156045,0.27346493,-0.38937877,-2.26304274,0.44310564,-0.32448567,-2.61936976,0.53859998,-0.58528795,-2.32568417,0.48016210,-0.51293166,0.48601731,4.23613279,1.00062938,
1565373915.375298,-1.88161280,0.27354630,-0.38960393,-2.26319413,0.44323306,-0.32465975,-2.61938174,0.53865991,-0.58538823,-2.32587025,0.48017787,-0.51310826,0.48599712,4.23615488,1.00060162,
1565373916.347831,-1.88157118,0.27353179,-0.38957870,-2.26308247,0.44316745,-0.32462632,-2.61944796,0.53864793,-0.58539895,-2.32589233,0.48019427,-0.51309501,0.48600343,4.23617002,1.00059279,
1565373917.364354,-1.88155541,0.27349142,-0.38963294,-2.26315186,0.44318512,-0.32466984,-2.61943471,0.53863342,-0.58540400,-2.32587845,0.48017346,-0.51309753,0.48599270,4.23616119,1.00056377,
1565373918.356888,-1.88155351,0.27352107,-0.38952572,-2.26306860,0.44317881,-0.32461875,-2.61941769,0.53865234,-0.58537877,-2.32585133,0.48017346,-0.51303635,0.48599144,4.23613847,1.00059532,
1565373919.294343,-1.88145576,0.27347754,-0.38941535,-2.26309194,0.44313654,-0.32457271,-2.61950094,0.53859052,-0.58534093,-2.32575482,0.48020752,-0.51292976,0.48601415,4.23619842,1.00064768,
1565373920.375876,-1.88148667,0.27348385,-0.38946517,-2.26312474,0.44311951,-0.32454748,-2.61941643,0.53866117,-0.58531633,-2.32580149,0.48021131,-0.51293166,0.48602803,4.23619273,1.00064578,
1565373921.365391,-1.88153144,0.27350278,-0.38945067,-2.26312790,0.44317692,-0.32452478,-2.61939624,0.53863342,-0.58532012,-2.32577437,0.48019112,-0.51293292,0.48597883,4.23615298,1.00063443,
1565373922.298860,-1.88155919,0.27353116,-0.38947653,-2.26309320,0.44319458,-0.32451027,-2.61942147,0.53866180,-0.58533147,-2.32575229,0.48019301,-0.51295626,0.48601289,4.23614290,1.00063443,
1565373923.376380,-1.88154847,0.27354188,-0.38949986,-2.26304653,0.44318764,-0.32453613,-2.61941769,0.53863152,-0.58533525,-2.32580780,0.48021068,-0.51299662,0.48601794,4.23615047,1.00062370,
1565373924.261834,-1.88154468,0.27355261,-0.38950302,-2.26313799,0.44319269,-0.32455316,-2.61940633,0.53865171,-0.58532579,-2.32580969,0.48022140,-0.51297959,0.48601226,4.23613659,1.00063191,
1565373925.359374,-1.88155667,0.27353621,-0.38966763,-2.26301246,0.44321350,-0.32468687,-2.61939561,0.53863152,-0.58542418,-2.32581158,0.48018797,-0.51321043,0.48596053,4.23616119,1.00058901,
1565373926.364823,-1.88147783,0.27361190,-0.39042322,-2.26299795,0.44339013,-0.32525072,-2.61937795,0.53868578,-0.58569033,-2.32592009,0.48024979,-0.51391681,0.48593593,4.23613343,1.00033604,
1565373927.346366,-1.88142044,0.27370400,-0.39129108,-2.26295254,0.44361470,-0.32592179,-2.61936849,0.53871732,-0.58607254,-2.32618940,0.48027943,-0.51473738,0.48588231,4.23617759,1.00011651,
1565373928.371835,-1.88141035,0.27389325,-0.39200189,-2.26297083,0.44385441,-0.32648186,-2.61940949,0.53876211,-0.58639421,-2.32643347,0.48045102,-0.51536871,0.48586969,4.23623122,0.99988374,
1565373929.373386,-1.88152324,0.27403329,-0.39240302,-2.26302759,0.44399634,-0.32671838,-2.61948580,0.53878040,-0.58654053,-2.32671601,0.48050338,-0.51562857,0.48586213,4.23629305,0.99974434,
1565373930.350850,-1.88056267,0.27401184,-0.39224219,-2.26244543,0.44395029,-0.32664395,-2.61913137,0.53883150,-0.58652224,-2.32582608,0.48092791,-0.51610412,0.48586149,4.23598959,0.99967243,
